Nicotinic Acid	Pyridoxal	Pyridoxine	Dopamine	Leucine	Phenylalanine	Tryptophan	Isoleucine	Kynurenine	Methionine	Valine	Tyrosine	AABA	Alanine	Pyridoxamine	Threonine	Homoserine	Glycine	Glutamine	Glutamic acid	Serine	Asparagine	Citrulline	Agmatine	GABA	Cadaverine	Aspartic acid	Histidine	Arginine	Lysine	Proline	Ornithine
Blasche-S3_P3-C1	4875	438	1365	206	696758	176237	58099	345593	415	14999	284258	5458	6484	117487	283	20980	382	1877	1562	31428	11289	3378	899	6200	1657	60581	6709	61139	212500	222893	48768	7348
Blasche-S3_P3-F12	4240	1325	48	207	729182	186895	60046	358299	413	15035	300403	4639	5771	113471	1098	18952	227	1678	1167	28477	11242	1897	674	7207	1571	62296	5431	44055	187012	160035	43236	6657
Blasche-S3_P3-C5	4953	479	1479	368	681882	174184	57308	336160	352	14519	276372	5457	5945	111127	304	19269	339	1770	1518	30089	10919	2984	844	5981	1448	57090	6287	57097	204797	207844	46110	6732
QC_3	136332	760627	1251308	249328	1057990	264895	84186	587119	18264	19963	424641	12341	16429	185444	567800	2606	598	3123	1711	50685	1013	24	3715	336496	26943	1196905	1071	62091	254589	90711	60158	5970
Blasche-S3_P3-C3	4750	358	1385	312	697012	170698	56584	330108	370	14556	273084	5537	6181	111386	324	19538	294	1751	1522	29314	11260	2890	654	5749	1602	59979	5910	57131	205811	208294	46701	6650
Blasche-S3_P3-F11	4201	1336	43	139	712667	181146	55514	350997	359	15043	293984	4494	5232	109846	1202	17964	308	1531	1161	27483	10836	1846	498	7898	1555	61603	5997	42802	184374	155185	41703	5517
Blasche-S3_P3-D7	5187	405	1373	387	661873	163992	56121	314792	357	14003	258218	4780	6018	105331	357	19220	215	1578	993	26721	9629	2982	668	5416	1700	58192	5788	52321	200887	199416	45556	6503
Blasche-S3_P3-B7	4072	757	1852	438	616147	152942	56768	316122	439	11879	217020	3768	4698	96131	1062	19202	225	1529	198	23046	13346	3066	742	4614	1696	63791	5973	37191	185712	156645	42862	6444
Blasche-S3_P3-H12	4182	759	1607	180	680252	182388	65726	330456	389	19705	371027	6873	5062	153969	2043	15796	246	1770	4232	26387	12982	1670	710	15166	1786	69726	1960	73005	211722	231374	49445	9827
Blasche-S3_P3-H11	4313	751	1557	168	693372	192003	67274	335668	370	19627	378517	7032	4936	158789	1891	15883	276	1887	4367	27198	13422	1634	568	14966	1678	70765	1740	75565	213245	238718	50913	10245
QC_4	137549	755707	1244994	237375	1056775	263908	85135	589643	18267	20254	426691	12205	15987	185977	557527	2705	614	3157	1464	50979	903	19	3638	338288	26959	1200113	1112	59900	255286	90553	58746	5930
Blasche-S3_P3-G1	4161	602	1453	249	635940	175333	62274	303606	381	18529	340398	6367	4985	142178	1450	16263	198	1732	4095	26038	12895	2213	689	12460	1641	67496	1703	68855	204734	220620	49441	9526
Blasche-S3_P3-G11	3833	636	1637	223	627238	173137	59504	295724	403	17730	333853	6388	4675	139304	1831	14504	267	1630	3210	25413	12267	1478	595	14992	1787	67335	1451	68878	199858	212039	46300	8964
Blasche-S3_P3-E3	4577	1278	111	213	711381	182455	58946	354076	373	15262	285711	4372	5630	111881	1259	17941	189	1614	1025	27384	11213	2455	665	7751	1667	65634	5750	42341	184608	157929	43170	6514
